"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717663328310059E9;"2024-06-06 10:42:08.310 UTC+02:00"
"PAUSE";2,386678145833139E1;1,717663352193516E9;"2024-06-06 10:42:32.194 UTC+02:00"
"START";2,386678145833139E1;1,717663409944920E9;"2024-06-06 10:43:29.945 UTC+02:00"
"PAUSE";2,813970932916709E2;1,717663667472990E9;"2024-06-06 10:47:47.473 UTC+02:00"
"START";2,813970932916709E2;1,717663685760029E9;"2024-06-06 10:48:05.760 UTC+02:00"
"PAUSE";4,575697000000073E2;1,717663861930839E9;"2024-06-06 10:51:01.931 UTC+02:00"
"START";4,575697000000073E2;1,717663904879910E9;"2024-06-06 10:51:44.880 UTC+02:00"
"PAUSE";8,044907228333323E2;1,717664251798077E9;"2024-06-06 10:57:31.798 UTC+02:00"
"START";8,044907228333323E2;1,717664261410918E9;"2024-06-06 10:57:41.411 UTC+02:00"
"PAUSE";1,038033463041662E3;1,717664494951766E9;"2024-06-06 11:01:34.952 UTC+02:00"
